Data exportació: Wed Jun 20 15:45:53 CEST 2012
Usuari: Xevi Riu
Data inici: 1993/5/20
Data final: 2012/11/20

Client;NIF;idComanda;data;Total
Jordi;7737279a;1;2011/5/20;20.00;
Jordi;7737279a;2;2011/5/2;40.00;
Jordi;7737279a;3;2011/5/14;40.00;
Jordi;7737279a;4;2011/5/9;40.00;
Jordi;7737279a;5;2011/5/30;40.00;
Jordi;7737279a;6;2012/5/1;40.00;
Jordi;7737279a;7;2012/5/17;40.00;
Jordi;7737279a;8;2012/5/25;40.00;
Jordi;7737279a;9;2012/5/20;40.00;
Jordi;7737279a;10;2012/5/16;40.00;
Jordi;7737279a;11;2012/5/18;40.00;
Jordi;7737279a;12;2012/5/22;40.00;
